tên,ô,view,từ,câu,từ/câu,dài,wpm,chữ nguy hiểm,nguy hiểm /1000 từ,nguy hiểm lần đầu %,khúc có nguy hiểm /10,you,you /1000 từ,we/our,tôi,số liệu,số /1000 từ,tên riêng,từ hiện đại,rào đón,câu dẫn có nhãn,câu hỏi,liên từ đầu câu,câu cụt ≤4 từ,dấu !,nguồn
How ADHD Leaders Shaped History Through Hyperfocus,SimplyAStickman,"1,354",1510,153,9.9,9:13,162,4,2.6,1,3,9,6.0,9,0,31,20.5,22,2,14,4,2,11,33,0,2_KHO_BANGHI/SimplyAStickman/20260524_How_ADHD_Leaders_Shaped_History_Through_Hyperfocus.txt
Why We Might Not Last 24 Hours in A World Without Fear?,SimplyAStickman,122,1980,158,12.5,12:06,163,14,7.1,7,7,24,12.1,15,8,50,25.3,5,8,13,7,1,9,13,0,2_KHO_BANGHI/SimplyAStickman/20260525_Why_We_Might_Not_Last_24_Hours_in_A_World_Without_Fear_.txt
What If People With ADHD Runs The Modern World?,SimplyAStickman,"1,237",1928,135,14.3,11:37,165,0,0.0,100,0,22,11.4,8,3,36,18.7,8,7,11,5,4,20,18,0,2_KHO_BANGHI/SimplyAStickman/20260526_What_If_People_With_ADHD_Runs_The_Modern_World_.txt
Why Ancient Tribes Needed Autistic Minds?,SimplyAStickman,"62,292",1454,121,12.0,8:38,168,1,0.7,10,1,12,8.3,9,1,20,13.8,10,1,11,6,4,16,21,0,2_KHO_BANGHI/SimplyAStickman/20260527_Why_Ancient_Tribes_Needed_Autistic_Minds_.txt
What If We Dump Our Thrash Into Volcanos,SimplyAStickman,204,1639,141,11.6,10:10,157,3,1.8,46,3,9,5.5,42,6,65,39.7,18,2,20,6,1,11,26,0,2_KHO_BANGHI/SimplyAStickman/20260530_What_If_We_Dump_Our_Thrash_Into_Volcanos.txt
Why AuDHD Feels Like Two Brains Fighting?,SimplyAStickman,"7,337",1644,197,8.3,9:08,179,1,0.6,30,1,50,30.4,8,5,59,35.9,5,0,6,12,4,23,54,0,2_KHO_BANGHI/SimplyAStickman/20260531_Why_AuDHD_Feels_Like_Two_Brains_Fighting_.txt
Why So Many Brilliant People Have Dyslexia?,SimplyAStickman,781,1547,178,8.7,8:08,189,2,1.3,47,1,40,25.9,3,3,35,22.6,11,3,5,4,5,22,46,0,2_KHO_BANGHI/SimplyAStickman/20260604_Why_So_Many_Brilliant_People_Have_Dyslexia_.txt
Why Ancient Humans Needed Sensitive People?,SimplyAStickman,"2,282",1657,139,11.9,9:12,180,5,3.0,24,4,59,35.6,3,1,39,23.5,12,2,6,5,2,18,20,0,2_KHO_BANGHI/SimplyAStickman/20260605_Why_Ancient_Humans_Needed_Sensitive_People_.txt
The Reasons Autistic People Go Silent,SimplyAStickman,"1,942",1745,149,11.7,9:28,184,3,1.7,9,3,54,30.9,4,5,37,21.2,4,0,4,5,1,14,22,0,2_KHO_BANGHI/SimplyAStickman/20260607_The_Reasons_Autistic_People_Go_Silent.txt
Why Ancient Tribes Kept the People Who Heard Voices?,SimplyAStickman,466,1804,179,10.1,9:37,187,12,6.7,15,7,31,17.2,38,0,23,12.7,7,0,15,4,5,25,31,0,2_KHO_BANGHI/SimplyAStickman/20260610_Why_Ancient_Tribes_Kept_the_People_Who_Heard_Voices_.txt
Why Some Brains Wake Up After Dark?,SimplyAStickman,"1,131",1403,145,9.7,7:27,187,8,5.7,10,6,51,36.4,2,1,29,20.7,10,1,3,6,5,15,24,0,2_KHO_BANGHI/SimplyAStickman/20260612_Why_Some_Brains_Wake_Up_After_Dark_.txt
Why Your Brain Says No?,SimplyAStickman,372,2063,204,10.1,11:03,186,8,3.9,33,5,43,20.8,6,3,43,20.8,11,1,10,9,4,43,28,0,2_KHO_BANGHI/SimplyAStickman/20260614_Why_Your_Brain_Says_No_.txt
Why Autistic Mind Suddenly Shut Down And How We Can Support,SimplyAStickman,528,1909,196,9.7,10:25,183,32,16.8,2,10,31,16.2,1,3,48,25.1,9,3,7,3,5,22,36,0,2_KHO_BANGHI/SimplyAStickman/20260616_Why_Autistic_Mind_Suddenly_Shut_Down_And_How_We_Can_Support.txt
Why ADHD Brains Ignore Important Things?,SimplyAStickman,"1,450",1398,155,9.0,8:08,171,5,3.6,19,5,62,44.3,1,3,46,32.9,5,1,9,4,1,24,33,0,2_KHO_BANGHI/SimplyAStickman/20260619_Why_ADHD_Brains_Ignore_Important_Things_.txt
Why AuDHD Makes You Feel Stuck All The Time,SimplyAStickman,463,1956,223,8.8,10:41,182,14,7.2,44,6,147,75.2,0,4,74,37.8,4,14,2,7,7,39,40,0,2_KHO_BANGHI/SimplyAStickman/20260622_Why_AuDHD_Makes_You_Feel_Stuck_All_The_Time.txt
Why Schizoid People Seem Emotionless?,SimplyAStickman,272,2202,208,10.6,12:55,170,5,2.3,43,3,24,10.9,18,2,28,12.7,20,0,5,7,5,29,37,0,2_KHO_BANGHI/SimplyAStickman/20260624_Why_Schizoid_People_Seem_Emotionless_.txt
Why Do Autistic Mind Hide Who They Really Are?,SimplyAStickman,282,1278,143,8.9,7:20,174,2,1.6,43,2,57,44.6,0,4,23,18.0,3,1,9,3,9,22,31,0,2_KHO_BANGHI/SimplyAStickman/20260626_Why_Do_Autistic_Mind_Hide_Who_They_Really_Are_.txt
Why Your Brain Won't Let Go of Unfinished Events,SimplyAStickman,161,2064,196,10.5,11:43,177,2,1.0,24,2,130,63.0,1,0,32,15.5,11,1,10,8,6,33,31,0,2_KHO_BANGHI/SimplyAStickman/20260629_Why_Your_Brain_Won_t_Let_Go_of_Unfinished_Events.txt
Why You Aren't Lazy. Why Your Brain Just Can't Feel Time.,SimplyAStickman,117,1710,178,9.6,9:32,177,1,0.6,46,1,104,60.8,0,1,57,33.3,10,1,10,7,3,24,24,0,2_KHO_BANGHI/SimplyAStickman/20260703_Why_You_Aren_t_Lazy_Why_Your_Brain_Just_Can_t_Feel_Time_.txt
Why You Can't Stop Overthinking (Even When You Know What To Do),SimplyAStickman,216,2982,295,10.1,16:05,185,19,6.4,13,6,148,49.6,2,10,50,16.8,10,1,12,7,21,51,39,0,2_KHO_BANGHI/SimplyAStickman/20260705_Why_You_Can_t_Stop_Overthinking_Even_When_You_Know_What_To_D.txt
